account_id,made_last_payment_on_time,latest_communication_channel,minimum_payment,previous_payment_amount,product,last_reminder_sent_days,debt_to_income_ratio,opened_last_communication,used_chat_feature,count_comms_sent_last_30d,homeowner,ever_missed_payment,age_of_debt_yrs,total_balance,latest_communication_dow
25,1,Email,33.0,1.42,Credit Card,13,0.04,1,0,3,1,1,0.08,64.26,Tuesday
26,0,Email,22.0,13.0,Deferred Repayment,9,5.04,0,0,0,0,1,2.0,71.0,Monday
27,1,Email,33.0,11.0,Deferred Repayment,7,0.125,1,1,10,1,1,1.8,18028.0,Tuesday
28,1,SMS,31.0,1.33,Credit Card,3,0.585,1,0,1,0,1,2.2,60.17,Monday
29,1,Email,23.0,22.09,Credit Card,1,0.0,1,0,1,1,1,0.6,2185.0,Monday
30,1,Email,27.0,0.5,Credit Card,11,0.21,1,0,0,1,0,3.12,151.0,Tuesday
31,0,SMS,20.0,6.0,Deferred Repayment,8,5.75,0,0,0,1,1,1.54,33.0,Tuesday
32,0,Email,52.0,3.5,Deferred Repayment,8,1.585,1,1,0,1,1,2.0,101.0,Tuesday
33,1,Email,23.0,11.0,Credit Card,6,0.04,1,0,9,1,1,2.9,285.0,Tuesday
34,0,Email,43.0,2.5,Credit Card,10,5.25,0,0,0,1,1,3.52,113.0,Monday
35,0,Email,75.0,1.33,Deferred Repayment,11,0.04,0,1,0,0,1,0.08,352.0,Thursday
36,1,Email,25.0,19.17,Credit Card,11,0.29,1,0,3,1,0,0.2,49.05,Monday
37,1,Email,40.0,19.25,Credit Card,8,0.165,1,0,1,1,1,0.7,77.66,Monday
38,1,SMS,48.0,22.5,Credit Card,8,0.0,1,0,0,1,0,0.08,1261.0,Monday
39,1,SMS,47.0,9.25,Credit Card,8,0.335,1,0,3,1,1,5.19,1705.0,Monday
41,0,Email,23.0,1.17,Deferred Repayment,1,2.0,0,0,0,1,1,1.2,68.0,Monday
42,1,Email,27.0,0.84,Credit Card,11,0.5,1,0,0,0,0,0.08,5299.0,Tuesday
43,0,Email,63.0,6.5,Credit Card,8,2.5,1,0,0,1,1,1.8,124.25,Monday
44,0,Email,24.0,2.67,Deferred Repayment,8,3.0,0,0,0,0,0,1.28,46.6,Monday
45,1,SMS,21.0,33.0,Credit Card,1,1.75,1,1,1,1,1,0.49,40.71,Monday
46,0,SMS,24.0,3.0,Deferred Repayment,14,2.5,0,0,0,0,1,1.32,48.07,Monday
47,1,Email,16.0,8.0,Credit Card,5,2.5,0,0,1,0,0,0.08,31.73,Monday
48,0,SMS,30.0,27.5,Deferred Repayment,9,1.0,0,0,0,0,1,2.56,57.88,Tuesday
49,1,SMS,53.0,20.42,Credit Card,7,0.0,1,0,10,0,0,0.08,2201.0,Monday
50,0,Email,32.0,1.0,Credit Card,8,1.0,0,0,0,1,1,2.32,63.43,Monday
51,0,Email,21.0,1.5,Deferred Repayment,8,2.75,0,0,0,0,1,1.4,101.0,Tuesday
52,0,Email,28.0,3.5,Deferred Repayment,11,20.0,0,0,0,0,1,2.16,2101.0,Monday
53,0,Email,19.0,1.42,Deferred Repayment,14,5.75,0,1,0,1,1,1.12,37.28,Monday
54,0,Email,28.0,1.08,Deferred Repayment,13,2.0,0,0,0,1,1,3.69,54.11,Tuesday
55,1,Email,28.0,2.5,Credit Card,6,5.75,1,0,11,1,1,4.34,36.0,Monday
56,1,Email,40.0,5.0,Credit Card,1,0.085,1,0,0,0,1,0.08,501.0,Wednesday
57,0,SMS,37.0,6.25,Credit Card,9,3.0,0,1,0,0,1,2.6,247.0,Tuesday
58,1,Email,42.0,11.33,Deferred Repayment,3,0.25,1,0,1,1,1,0.52,1443.0,Monday
59,1,Email,57.0,19.0,Credit Card,2,0.085,1,0,2,1,1,2.0,111.34,Monday
60,0,Email,43.0,50.17,Credit Card,13,11.5,0,0,0,1,1,1.41,84.7,Wednesday
61,0,SMS,24.0,10.08,Credit Card,11,3.25,0,1,0,1,1,2.4,46.6,Monday
62,1,Email,18.0,2.5,Credit Card,3,0.04,1,1,11,0,0,1.2,301.0,Monday
63,0,SMS,41.0,2.25,Credit Card,11,1.75,0,0,0,0,1,11.6,80.11,Wednesday
64,1,SMS,24.0,9.0,Credit Card,2,0.04,1,0,14,0,1,2.8,825.0,Tuesday
65,1,Email,42.0,4.33,Credit Card,9,5.0,1,0,1,0,1,0.08,82.4,Tuesday
66,0,SMS,20.0,7.5,Credit Card,8,5.5,0,1,0,1,1,3.8,38.26,Monday
67,0,Email,22.0,1.08,Credit Card,9,6.0,1,1,1,1,1,1.0,69.0,Monday
68,0,Email,31.0,4.33,Credit Card,7,1.25,0,0,0,0,1,1.76,147.0,Thursday
69,1,Email,27.0,0.5,Credit Card,3,0.5,1,0,3,1,0,5.83,714.0,Tuesday
70,0,Email,49.0,4.0,Deferred Repayment,9,14.0,1,0,0,1,1,0.08,95.65,Thursday
71,0,SMS,30.0,3.42,Credit Card,13,3.5,0,0,4,0,1,0.08,34.0,Tuesday
72,0,Email,29.0,2.67,Credit Card,13,2.5,0,0,0,0,1,2.0,57.72,Monday
73,1,Email,28.0,10.25,Deferred Repayment,6,10.0,1,1,0,1,1,1.44,55.43,Wednesday
74,1,Email,40.0,1.17,Credit Card,3,0.0,1,0,6,0,1,0.08,1201.0,Friday
75,0,Email,36.0,1.0,Credit Card,8,1.5,0,0,0,0,1,4.54,51.0,Monday
76,0,Email,26.0,3.5,Credit Card,11,1.25,0,1,0,1,0,3.4,50.19,Tuesday
77,0,Email,30.0,6.33,Credit Card,6,2.5,0,0,0,0,1,2.16,58.53,Monday
79,1,SMS,32.0,0.5,Credit Card,7,0.125,1,0,2,0,1,1.2,2080.0,Monday
80,1,Email,25.0,0.67,Credit Card,3,0.04,1,1,0,0,1,0.08,7060.0,Monday
81,0,SMS,35.0,2.17,Credit Card,8,4.0,0,0,0,0,1,0.08,201.0,Thursday
82,0,SMS,19.0,28.0,Credit Card,13,0.875,0,0,0,0,1,0.8,43.0,Monday
83,0,Email,40.0,2.17,Credit Card,9,1.5,0,0,0,0,1,5.5,78.32,Wednesday
84,0,Email,23.0,7.0,Credit Card,9,0.085,0,0,6,1,1,2.8,45.95,Monday
86,0,SMS,25.0,0.84,Credit Card,4,5.5,0,0,0,0,1,2.8,48.56,Tuesday
87,1,SMS,47.0,2.5,Credit Card,2,0.5,1,0,6,1,1,0.08,92.21,Wednesday
88,1,Email,34.0,27.5,Credit Card,9,3.5,0,1,1,1,1,2.9,67.04,Monday
89,0,Email,22.0,0.08,Deferred Repayment,11,5.0,0,1,0,0,1,1.0,43.5,Thursday
90,0,Email,28.0,0.84,Credit Card,14,1.0,0,0,0,1,1,1.4,54.45,Tuesday
91,0,Email,43.0,0.58,Credit Card,6,0.0,0,1,0,0,1,1.08,101.0,Monday
92,0,Email,29.0,8.0,Credit Card,8,1.5,0,1,0,0,1,0.08,287.0,Monday
93,1,Email,36.0,23.0,Credit Card,7,0.04,1,0,2,0,1,0.08,368.0,Wednesday
94,0,SMS,18.0,0.5,Deferred Repayment,9,0.085,0,0,0,0,1,3.4,35.65,Tuesday
95,1,Email,21.0,13.0,Credit Card,4,0.165,0,1,5,0,0,1.5,41.69,Monday
96,0,SMS,39.0,11.33,Credit Card,14,17.5,0,0,0,0,1,0.08,391.0,Monday
97,0,Email,32.0,1.17,Deferred Repayment,14,20.0,0,0,0,0,0,0.08,62.45,Monday
98,0,SMS,17.0,1.0,Credit Card,3,5.665,0,0,0,1,1,0.08,34.0,Monday
99,1,SMS,20.0,2.83,Credit Card,2,0.25,1,0,9,0,1,0.08,40.06,Monday
100,0,SMS,39.0,0.33,Credit Card,10,6.5,0,1,0,0,1,4.8,76.67,Monday
101,1,Email,39.0,25.0,Credit Card,8,0.0,1,0,2,1,1,2.8,75.87,Monday
102,1,Email,28.0,1.58,Credit Card,10,0.0,1,1,4,1,0,4.87,501.0,Monday
103,1,Email,28.0,15.0,Deferred Repayment,7,0.5,1,0,0,0,0,2.6,501.0,Monday
105,1,SMS,25.0,18.34,Credit Card,7,3.5,1,0,1,1,1,1.6,5861.0,Tuesday
106,1,Email,28.0,4.0,Credit Card,6,0.0,1,1,0,0,1,1.4,7545.0,Tuesday
107,0,Email,22.0,6.25,Credit Card,8,15.0,0,1,0,0,0,0.08,43.65,Monday
108,1,SMS,50.0,2.25,Credit Card,7,0.085,1,1,4,1,1,0.08,97.77,Tuesday
109,0,Email,32.0,40.0,Credit Card,8,1.625,0,1,0,1,1,2.8,63.43,Monday
110,0,Email,38.0,0.5,Deferred Repayment,11,1.5,0,1,0,0,1,1.6,75.05,Monday
111,0,Email,47.0,3.0,Credit Card,14,3.165,0,0,0,1,1,0.08,229.0,Monday
112,0,Email,28.0,22.0,Deferred Repayment,9,6.0,1,0,0,1,1,0.75,54.6,Tuesday
113,1,SMS,36.0,22.0,Credit Card,7,0.125,1,0,1,0,1,0.08,1584.0,Monday
114,0,Email,34.0,4.58,Credit Card,13,2.5,0,0,0,1,1,4.2,65.88,Wednesday
115,1,Email,34.0,10.0,Deferred Repayment,6,0.25,1,1,2,1,1,2.8,2001.0,Wednesday
116,1,SMS,21.0,3.25,Credit Card,8,0.0,1,1,0,1,1,0.8,51.0,Tuesday
117,1,Email,33.0,22.0,Credit Card,1,0.0,1,1,9,1,1,3.4,4072.0,Monday
118,1,Email,23.0,8.0,Credit Card,1,0.0,1,0,1,1,1,1.0,810.0,Monday
119,1,Email,49.0,14.0,Credit Card,6,0.25,1,1,1,0,1,1.81,1656.0,Tuesday
120,1,Email,41.0,28.0,Credit Card,4,0.125,1,0,7,0,0,0.08,3066.0,Monday
121,0,Email,21.0,1.67,Deferred Repayment,2,2.5,0,1,0,1,1,2.4,40.55,Monday
122,0,SMS,39.0,3.0,Credit Card,8,1.415,0,1,0,0,1,0.76,76.03,Thursday
123,1,SMS,57.0,0.08,Credit Card,14,2.0,1,0,0,0,0,0.08,3001.0,Monday
124,1,SMS,31.0,6.0,Credit Card,4,5.375,1,0,1,1,1,1.81,61.31,Tuesday
125,0,Email,22.0,36.25,Credit Card,8,4.5,0,0,0,0,1,4.2,284.0,Monday
126,1,SMS,58.0,20.42,Credit Card,7,0.085,1,0,1,0,0,0.08,1603.0,Monday
127,0,Email,29.0,15.08,Credit Card,13,7.0,0,0,0,0,0,2.2,141.0,Monday
128,1,SMS,46.0,7.0,Credit Card,4,0.04,1,0,0,0,0,1.0,961.0,Friday
129,1,Email,21.0,8.92,Deferred Repayment,3,0.0,1,0,5,1,1,1.6,41.2,Monday
130,1,SMS,25.0,3.17,Credit Card,1,0.625,1,0,2,1,1,1.2,568.0,Monday
131,0,SMS,21.0,0.92,Deferred Repayment,8,2.0,0,0,1,0,1,2.6,40.87,Friday
132,0,Email,25.0,5.75,Deferred Repayment,8,3.5,0,1,0,0,1,1.84,48.23,Thursday
133,0,SMS,26.0,20.0,Deferred Repayment,14,0.75,0,0,0,0,1,0.8,51.99,Monday
134,0,Email,41.0,22.0,Credit Card,13,5.0,1,1,0,0,1,1.3,80.28,Thursday
135,0,SMS,38.0,3.5,Credit Card,14,17.5,0,0,4,0,1,1.6,75.2,Monday
136,0,Email,20.0,0.25,Credit Card,14,1.75,0,1,0,0,1,3.5,770.0,Thursday
137,1,Email,39.0,21.0,Credit Card,8,0.165,1,1,3,0,0,2.4,4608.0,Monday
138,1,Email,26.0,2.17,Credit Card,10,0.415,1,1,6,1,1,3.12,50.52,Monday
139,1,SMS,46.0,25.0,Credit Card,4,0.21,1,0,2,1,1,3.96,4160.0,Monday
140,0,Email,20.0,6.0,Deferred Repayment,9,13.875,1,0,0,1,1,1.4,38.59,Tuesday
141,0,SMS,22.0,1.17,Deferred Repayment,8,2.5,0,0,0,0,1,2.8,43.65,Thursday
142,0,Email,19.0,1.08,Deferred Repayment,6,0.5,0,0,0,1,1,1.8,36.94,Thursday
143,1,Email,64.0,8.92,Credit Card,2,1.0,1,0,6,1,0,0.08,1001.0,Tuesday
144,0,SMS,16.0,8.0,Credit Card,10,3.5,0,0,0,0,1,1.08,99.0,Monday
145,1,SMS,69.0,2.67,Credit Card,1,0.5,1,1,8,0,1,0.08,3377.0,Friday
146,1,Email,77.0,3.25,Credit Card,6,0.25,1,0,2,1,0,0.08,110.0,Friday
147,0,SMS,16.0,17.0,Credit Card,8,2.0,0,0,0,0,1,1.2,31.24,Monday
148,0,Email,35.0,11.42,Credit Card,11,0.0,1,0,0,1,1,1.84,68.34,Wednesday
149,1,SMS,47.0,19.0,Credit Card,7,0.0,1,0,16,0,1,3.75,51101.0,Wednesday
151,0,Email,45.0,17.0,Credit Card,11,6.75,1,0,0,1,1,1.4,88.62,Monday
152,0,Email,15.0,11.75,Credit Card,8,5.0,0,0,0,0,0,6.0,29.76,Monday
153,0,Email,19.0,1.25,Deferred Repayment,8,2.5,0,1,2,0,1,2.0,36.94,Monday
154,1,Email,52.0,5.0,Credit Card,6,0.165,1,0,4,0,1,0.08,11203.0,Monday
156,1,Email,18.0,10.0,Credit Card,5,0.29,0,1,0,0,0,2.0,41.0,Friday
157,0,Email,38.0,8.0,Credit Card,5,10.0,0,1,5,0,1,1.2,73.57,Monday
158,1,Email,23.0,0.75,Deferred Repayment,11,0.04,1,1,2,0,1,0.8,44.48,Monday
159,0,Email,48.0,2.0,Credit Card,11,15.0,0,1,1,1,1,5.2,93.84,Wednesday
160,0,Email,34.0,4.0,Credit Card,8,2.5,0,1,0,0,1,4.6,66.86,Monday
161,0,SMS,33.0,4.25,Credit Card,8,0.75,0,0,0,1,1,0.08,64.9,Monday
162,1,Email,43.0,6.25,Deferred Repayment,1,0.585,1,1,2,1,0,3.0,163.0,Monday
163,1,Email,34.0,18.0,Deferred Repayment,8,2.625,1,1,2,1,0,1.95,67.69,Wednesday
164,0,Email,43.0,2.58,Credit Card,11,1.0,1,0,0,0,1,0.08,201.0,Wednesday
165,0,Email,18.0,22.92,Credit Card,8,0.5,0,0,0,1,1,2.8,35.81,Monday
166,0,Email,23.0,18.0,Credit Card,1,1.5,0,0,0,1,1,1.0,4209.0,Thursday
167,1,SMS,22.0,18.5,Deferred Repayment,3,8.0,0,1,1,0,0,1.64,44.14,Monday
168,0,Email,18.0,1.58,Credit Card,3,12.5,0,1,0,0,0,2.8,751.0,Monday
169,0,Email,18.0,2.67,Deferred Repayment,7,3.5,1,1,12,0,1,1.2,376.0,Monday
170,0,SMS,28.0,6.0,Credit Card,7,0.25,1,0,0,0,1,3.68,54.29,Monday
171,1,SMS,19.0,16.34,Deferred Repayment,1,0.25,1,0,6,1,0,0.8,501.0,Monday
172,0,Email,23.0,0.75,Credit Card,8,0.0,0,1,0,1,1,4.0,44.48,Monday
173,0,Email,62.0,3.33,Deferred Repayment,13,2.5,1,0,0,0,1,1.12,122.62,Tuesday
174,1,SMS,24.0,18.83,Credit Card,7,0.415,1,1,4,1,0,1.2,46.11,Monday
175,0,Email,35.0,23.33,Credit Card,8,0.0,1,1,0,1,1,6.8,69.16,Tuesday
176,0,SMS,57.0,5.0,Deferred Repayment,8,3.0,0,1,0,1,1,0.08,111.5,Thursday
177,0,SMS,53.0,8.5,Credit Card,9,2.0,0,1,7,1,0,0.62,104.63,Thursday
178,1,Email,41.0,7.5,Credit Card,1,0.54,1,0,6,0,1,3.2,80.78,Tuesday
179,1,Email,42.0,11.75,Credit Card,4,0.415,1,0,5,1,1,0.92,82.74,Tuesday
180,0,Email,41.0,1.08,Deferred Repayment,1,1.0,0,0,1,0,1,0.08,196.0,Monday
181,0,SMS,34.0,8.5,Credit Card,11,1.29,1,1,0,1,1,2.12,66.22,Wednesday
182,1,Email,26.0,9.17,Credit Card,3,0.54,1,0,0,1,0,1.4,259.0,Monday
183,1,Email,24.0,13.0,Deferred Repayment,6,0.0,1,0,1,1,1,1.0,47.74,Monday
184,1,Email,23.0,0.67,Deferred Repayment,1,1.585,1,1,1,1,0,1.6,301.0,Monday
185,0,Email,31.0,1.75,Credit Card,13,0.75,0,1,0,1,1,3.4,60.17,Tuesday
186,0,Email,37.0,3.42,Credit Card,9,0.5,1,0,0,1,1,2.8,72.93,Wednesday
187,0,Email,26.0,30.0,Credit Card,2,7.375,0,1,0,0,1,1.0,51.5,Monday
188,0,SMS,30.0,4.0,Credit Card,9,0.54,0,0,0,1,1,3.0,58.37,Monday
189,0,SMS,23.0,13.0,Credit Card,13,3.5,0,1,0,0,1,2.0,54.0,Friday
190,0,Email,17.0,6.0,Credit Card,14,2.29,0,0,0,1,1,1.6,41.0,Monday
191,1,Email,29.0,15.0,Credit Card,11,0.5,1,0,3,1,1,1.68,57.39,Monday
192,0,SMS,29.0,5.0,Credit Card,10,0.085,1,1,0,1,1,1.71,56.07,Wednesday
194,0,Email,23.0,2.0,Credit Card,7,0.165,1,1,0,0,1,1.8,45.95,Tuesday
195,1,Email,25.0,13.0,Credit Card,4,0.5,1,0,1,0,1,2.0,1209.0,Monday
196,1,SMS,19.0,19.0,Credit Card,1,5.5,1,1,1,0,1,1.84,26727.0,Monday
197,0,Email,17.0,6.0,Credit Card,11,2.0,0,1,0,0,0,1.6,33.51,Monday
198,0,SMS,16.0,1.5,Credit Card,10,1.5,0,0,0,0,1,1.6,127.0,Thursday
199,0,Email,33.0,3.08,Credit Card,6,7.0,0,1,0,1,1,7.2,64.59,Monday
200,1,SMS,20.0,8.5,Credit Card,4,0.04,1,0,1,0,1,0.5,1466.0,Tuesday
201,0,SMS,22.0,3.5,Deferred Repayment,9,0.29,0,0,0,0,1,1.6,42.67,Friday
202,1,Email,33.0,18.0,Credit Card,7,2.0,1,0,15,1,1,1.64,31286.0,Tuesday
203,0,SMS,25.0,4.5,Credit Card,11,15.5,1,0,0,1,1,3.6,49.7,Tuesday
204,1,SMS,25.0,10.83,Credit Card,6,0.0,1,1,1,0,0,0.08,501.0,Tuesday
206,0,Email,21.0,1.08,Deferred Repayment,4,0.25,0,1,0,0,1,1.4,185.0,Monday
207,0,SMS,40.0,30.0,Deferred Repayment,14,1.25,0,1,0,0,1,1.84,79.13,Monday
208,0,Email,29.0,9.58,Credit Card,11,4.0,0,1,0,1,1,4.0,109.0,Tuesday
209,0,Email,41.0,22.09,Deferred Repayment,2,0.25,0,1,0,1,1,1.3,80.28,Monday
210,1,SMS,30.0,52.67,Credit Card,1,0.165,1,1,0,0,0,3.8,501.0,Monday
211,1,Email,54.0,31.0,Deferred Repayment,3,0.29,1,0,1,0,0,1.8,315.0,Tuesday
212,0,Email,34.0,3.5,Deferred Repayment,13,1.5,0,0,2,1,1,0.6,66.71,Monday
213,0,Email,25.0,1.5,Credit Card,13,1.04,1,0,5,1,1,1.2,49.05,Monday
214,0,SMS,27.0,2.67,Deferred Repayment,14,1.375,0,0,0,1,1,1.8,61.0,Thursday
215,1,SMS,33.0,0.17,Credit Card,4,0.585,1,1,1,0,1,0.08,64.9,Tuesday
216,0,Email,34.0,4.0,Credit Card,13,0.75,0,0,0,0,1,1.2,66.06,Monday
217,0,Email,36.0,14.0,Credit Card,11,5.25,0,0,0,0,1,2.1,688.0,Wednesday
218,0,Email,20.0,8.0,Credit Card,10,1.0,0,0,0,0,1,2.8,365.0,Monday
219,1,Email,24.0,22.0,Credit Card,8,0.375,1,0,14,1,1,5.2,2001.0,Monday
220,1,SMS,30.0,5.0,Credit Card,6,0.085,1,1,5,1,1,0.08,3066.0,Wednesday
221,0,Email,20.0,22.0,Credit Card,9,2.5,0,0,0,0,1,0.08,39.24,Monday
222,1,Email,25.0,8.5,Credit Card,6,0.5,1,0,7,1,0,0.96,5125.0,Monday
223,0,Email,30.0,3.0,Credit Card,8,5.165,0,1,0,1,1,4.6,69.0,Monday
224,0,Email,43.0,5.75,Credit Card,8,1.5,1,1,0,0,1,5.6,84.7,Wednesday
225,0,Email,29.0,7.0,Credit Card,9,5.085,1,1,0,0,1,2.8,56.41,Monday
226,0,Email,32.0,6.0,Deferred Repayment,8,1.29,0,0,0,0,1,0.08,61.94,Wednesday
227,1,Email,20.0,22.0,Credit Card,4,0.0,1,0,40,0,1,0.08,39.73,Friday
228,1,Email,45.0,27.33,Credit Card,4,0.25,1,0,3,1,1,0.88,2001.0,Tuesday
229,1,SMS,23.0,11.42,Credit Card,6,0.085,1,1,4,1,1,1.4,2385.0,Tuesday
230,1,SMS,21.0,1.67,Credit Card,7,2.25,1,1,8,0,0,1.0,40.55,Monday
231,0,Email,28.0,23.0,Credit Card,13,5.0,0,0,0,1,1,1.0,54.6,Monday
232,0,Email,41.0,0.58,Deferred Repayment,1,1.085,1,1,0,1,1,1.76,80.28,Tuesday
233,1,Email,56.0,17.0,Deferred Repayment,4,0.54,1,1,1,0,1,0.08,110.7,Monday
234,1,SMS,64.0,18.0,Credit Card,3,0.21,1,0,5,0,1,2.32,101.0,Thursday
235,1,SMS,22.0,20.42,Deferred Repayment,11,0.0,1,1,12,0,0,0.08,322.0,Tuesday
236,0,SMS,24.0,33.0,Deferred Repayment,8,6.04,0,0,0,0,1,2.0,457.0,Wednesday
237,0,SMS,70.0,10.08,Credit Card,13,0.79,0,1,0,0,1,0.08,136.36,Thursday
238,0,Email,36.0,2.67,Credit Card,11,5.0,0,0,0,1,0,2.31,69.81,Monday
239,1,Email,48.0,4.0,Credit Card,7,0.0,1,1,7,0,1,1.1,94.82,Monday
240,1,SMS,28.0,0.25,Deferred Repayment,8,0.085,1,0,0,0,1,0.08,13213.0,Friday
241,1,Email,35.0,22.25,Credit Card,8,0.415,1,1,9,0,1,1.5,1271.0,Monday
242,1,Email,50.0,22.0,Credit Card,4,0.5,1,0,7,1,0,0.08,5001.0,Wednesday
243,0,Email,80.0,3.0,Credit Card,2,1.415,1,0,0,0,1,0.08,341.0,Monday
244,0,Email,29.0,6.5,Credit Card,10,0.75,0,0,0,0,0,2.28,57.39,Tuesday
245,0,SMS,17.0,2.5,Credit Card,8,3.5,0,1,0,1,0,2.4,36.0,Monday
246,0,SMS,16.0,3.0,Credit Card,9,3.0,0,0,0,1,1,3.2,31.39,Monday
247,1,Email,60.0,1.5,Credit Card,8,1.25,1,0,14,1,1,0.08,1001.0,Thursday
248,1,Email,28.0,14.16,Credit Card,1,2.5,1,1,1,1,1,1.81,54.94,Tuesday
249,1,Email,42.0,4.33,Credit Card,7,0.0,0,1,6,0,0,2.16,81.42,Wednesday
250,0,Email,24.0,0.33,Credit Card,8,0.04,0,1,0,1,1,0.08,47.24,Monday
251,0,Email,24.0,5.0,Deferred Repayment,8,0.5,0,1,0,1,1,1.2,476.0,Monday
252,1,Email,35.0,20.42,Credit Card,2,0.085,1,1,0,1,1,0.08,135.0,Friday
253,0,Email,34.0,2.42,Credit Card,11,4.0,0,0,0,0,1,1.2,66.06,Monday
254,1,SMS,41.0,19.5,Credit Card,7,0.0,1,1,2,0,0,0.29,838.0,Tuesday
255,1,Email,20.0,2.5,Credit Card,3,0.04,1,1,1,0,0,1.0,151.0,Monday
256,1,Email,38.0,0.33,Deferred Repayment,4,0.125,0,1,7,1,1,4.31,73.57,Monday
257,1,Email,48.0,14.0,Credit Card,3,3.085,1,0,7,1,0,2.25,95.16,Monday
258,0,Email,23.0,4.0,Credit Card,4,2.25,0,0,2,1,1,3.2,45.13,Monday
259,0,Email,35.0,1.08,Credit Card,11,13.0,0,0,0,1,1,0.08,68.67,Tuesday
260,0,Email,16.0,16.0,Credit Card,10,5.5,0,1,0,0,1,0.8,22.0,Monday
261,1,Email,23.0,8.0,Credit Card,3,6.75,1,0,12,0,1,1.0,44.48,Tuesday
262,0,SMS,22.0,10.08,Credit Card,8,3.5,0,0,0,1,1,1.8,42.67,Monday
263,1,SMS,25.0,13.0,Deferred Repayment,2,0.0,1,1,8,1,0,3.7,49.21,Monday
264,1,Email,36.0,20.0,Deferred Repayment,4,0.04,1,1,1,0,0,0.5,1188.0,Monday
265,0,SMS,29.0,6.0,Credit Card,11,0.0,0,0,0,1,0,0.4,155.0,Monday
266,0,Email,22.0,2.17,Credit Card,11,1.0,0,0,0,1,1,1.8,174.0,Monday
267,1,Email,34.0,11.0,Credit Card,3,14.0,1,0,6,1,1,5.2,50001.0,Monday
268,0,Email,35.0,6.0,Credit Card,14,10.75,0,0,0,1,0,2.1,68.67,Monday
269,0,Email,29.0,22.09,Credit Card,14,7.0,0,1,0,1,1,1.0,56.07,Monday
270,0,SMS,19.0,0.67,Credit Card,4,14.0,0,1,0,0,1,0.8,485.0,Tuesday
271,1,Email,23.0,18.5,Credit Card,3,0.04,1,0,2,0,1,3.0,45.62,Monday
272,0,Email,16.0,14.0,Credit Card,11,3.04,0,0,0,0,1,1.32,32.37,Monday
273,1,SMS,20.0,8.25,Credit Card,11,0.085,0,0,4,0,1,2.4,769.0,Monday
274,1,Email,22.0,3.0,Credit Card,4,0.125,1,0,0,0,1,0.8,279.0,Monday
275,0,Email,34.0,0.75,Deferred Repayment,1,2.75,0,0,0,1,1,4.8,66.71,Wednesday
276,0,SMS,57.0,10.0,Credit Card,9,1.25,1,0,0,1,1,2.52,2198.0,Wednesday
